1000001,2,1,7,5020200,,3,,北野天満宮　本殿、石の間、拝殿及び楽の間,きたのてんまんぐう　ほんでん、いしのま、はいでんおよびがくのま,,,北野天満宮にある桃山時代建築の国宝建造物。中門を入ったところに南面して建つ社殿で、菅原道真公を主祭神とし、相殿に中将殿と吉祥女を祀る。建築様式は八棟造（権現造）で、本殿と拝殿を石の間で結び、左右に楽の間を付す。,,,,,,,,不可,,,,,,,,,sight/photo/mimon01C/C069.bmp
1000002,2,2,3,5020200,,3,1000089,慈照寺（銀閣寺）　銀閣,じしょうじ（ぎんかくじ）　ぎんかく,銀閣（観音殿）,ぎんかく　かんのんでん,"慈照寺（銀閣寺）にある室町時代建築の国宝建造物。足利義政が西芳寺の瑠璃殿をまねて建てた観音殿。上層の潮音閣に観世音菩薩木像を、下層の心空殿に千体地蔵像を安置する。上層の禅宗仏殿風と下層の住宅風が結び付いた意匠が、北山の金閣とにているため、江戸時代になって、金閣に対して銀閣と呼ばれるようになった。常時非公開\n\n\n\n●交通案内：京阪電車出町柳下車　\n\n　　　　　　市バス　銀閣寺道下車　徒歩約10分\n\n　　　　　　市バス　銀閣寺前下車　徒歩約５分\n\n●駐車場情報：市営駐車場２時間以内\n\n　　　　　　　バス14台分　2.500円\n\n　　　　　　　自家用車40台分　800円",,,606,3,京都市左京区銀閣寺町2,075-771-5725,075-771-5439,可。一部登れないところあり,830,,1700,40,無休,"拝観時間：\n\n夏期（ 3月～11月）8:30～17:00\n\n冬期（12月～ 2月）9:00～16:30","　　　　一般　　障害者　志納金　　　　　　　　　　　　として\n\n大学生　500円　　　100円\n\n高校生　500円　　　100円\n\n中学生　300円　　　100円\n\n小学生　300円　　　100円\n\n小学生以下無料","東求堂・本堂・弄清亭内部は春・秋の特別拝観のみ\n\n入山料500円以外に別途1000円要",sight/photo/mimon01C/C077.bmp
1000003,2,2,3,5020200,,3,1000089,銀閣寺（慈照寺）　東求堂,ぎんかくじ（じしょうじ）　とうぐどう,,,"慈照寺（銀閣寺）にある室町時代建築の国宝建造物。三間半四方の小堂。足利義政が文明１８年（１４８６）に持仏堂として建てた東山殿時代の遺構。東求堂の名は、法語の「東方の人、仏を念じて西方に生まれんことを求む」から名付けられたといわれている。内部の拝観は予約制。\n\n\n\n●交通案内：京阪電車出町柳下車　\n\n　　　　　　市バス203･5･17系統　銀閣寺道下車　徒歩約10分\n\n　　　　　　市バス32･100系統　銀閣寺前下車　徒歩約５分\n\n●駐車場情報：市営駐車場２時間以内\n\n　　　　　　　バス14台分　2.500円\n\n　　　　　　　自家用車40台分　800円",,,606,3,京都市左京区銀閣寺町2,075-771-5725,075-771-5439,可。一部登れないところあり,830,,1700,40,無休,"拝観時間：\n\n夏期（ 3月～11月）8:30～17:00\n\n冬期（12月～ 2月）9:00～16:30\n\n","　　　　一般　　障害者　志納金　　　　　　　　　　　　として\n\n大学生　500円　　　100円\n\n高校生　500円　　　100円\n\n中学生　300円　　　100円\n\n小学生　300円　　　100円\n\n小学生以下無料","東求堂・本堂・弄清亭内部は春・秋の特別拝観のみ\n\n入山料500円以外に別途1000円要",sight/photo/mimon01C/C078.bmp
1000004,2,2,3,5020200,,3,1000047,清水寺　本堂,きよみずでら　ほんどう,,,"清水寺にある江戸時代初期建築の国宝建造物。寝殿造風の建物を中心とし、前方左右に翼廊を出し、その間は板張りの舞台となっている。舞台は約12メートルの長い樹齢500年以上の欅の大木の束柱を貫で組み合わせて支えられ、断崖上に架かっている。坂上田村麻呂が長岡京の紫宸殿を賜って本堂にしたといわれている。\n\n本尊は十一面千手千眼観音立像で国宝の厨子内に安置され、秘仏。33年ごとに開扉される習わしになっている。近年のご開帳は2000年。脇侍の毘沙門天、勝軍地蔵もともに秘仏。\n\n\n\n",,,,,京都市東山区清水一丁目294,075-551-1234,075-551-1287,可（寺務所に問い合わせ要）,,,,,,,,不要,sight/photo/mimon01D/D089.bmp
1000005,2,2,3,5020200,,3,1000181,高山寺　石水院（五所堂）,こうさんじ　せきすいいん（ごしょどう）,栂尾山　高山寺,とがのおさん　こうさんじ,右京区栂尾高山寺にある鎌倉時代建築の国宝建造物。五所堂ともいい、貞応３年（１２２４）、後鳥羽上皇の賀茂の別院を賜ったものと伝えられる。単層、入母屋造の住宅風建築を、後に正面に向拝を付して拝殿風に改めた。創建以来、何度も移築と改造を繰り返し、明治２２年（１８８９）に現在の地に移された。,,,,,,,,不可,900,,1700,40,無休,受付終了：16:30,"料金改定の場合あり。（正式決定は6月）9月～\n\n　一般　　800円\n\n　入山料　500円　　　　\n\n\n\n\n\n\n\n一般（中学生以上）600円\n\n修学旅行　　400円\n\n小人小学生　300円\n\n\n\n秋期（10～11月）入山料\n\n一般　400円\n\n修学旅行、小人　200円","団体で抹茶の場合、要予約\n\n（別途500円）\n\n",sight/photo/mimon01C/C005.bmp
1000006,2,2,3,5020200,,3,1000241,三十三間堂（蓮華王院）南大門,さんじゅうさんげんどう（れんげおういん）なんだいもん,,,蓮華王院（三十三間堂）にある桃山時代建築の重要文化財建造物。境内の南端、塩小路通に面して建つ本瓦葺の巨大な八脚門。慶長５年（１６００）、豊臣秀頼によって建立された。,,,,,,,,,,,,,,,,,sight/photo/mimon01C/C002.bmp
1000007,2,2,3,5020200,,3,1000241,三十三間堂（蓮華王院）築地塀,さんじゅうさんげんどう（れんげおういん）ついじべい,,,蓮華王院（三十三間堂）にある桃山時代の重要文化財建造物。南大門を挟んで東に短く、西に長く伸びた土塀が残存する。丸瓦や平瓦に桐の紋がついているので、太閤塀ともいう。元は西面にもあったが、現在は残っていない。,,,,,,,,,,,,,,,,,sight/photo/mimon01C/C001.bmp
1000008,2,2,3,5020200,,3,1000241,三十三間堂（蓮華王院）木造千手観音坐像,さんじゅうさんげんどう（れんげおういん）もくぞうせんじゅかんのんざぞう,,,蓮華王院（三十三間堂）にある鎌倉時代作の国宝彫刻。仏師湛慶の作で、堂内中央須弥壇上に安置されている。像高３．３５ｍ、背後に雲焔と唐草を透彫りとし、表面に観音の三十三変化身を配した光背を負っている。頭上の天蓋は、中央に大蓮華文を彫り、まわりに飛雲、外縁に吹返しの飾りと、雲形彫刻で埋め尽くされている。,,,,,,,,,,,,,,,,,sight/photo/mimon01C/C004.bmp
1000020,2,2,3,5020200,,3,1000042,東寺（教王護国寺）　金堂,とうじ（きょうおうごこくじ）　こんどう,,,東寺（教王護国寺）にある桃山時代建築の国宝建造物。延暦１５年（７９６）創建。文明１８年（１４８６）焼失したため、慶長８年（１６０３）に豊臣秀頼が再建した。唐様、和様、天竺様の建築様式を折衷した桃山時代仏寺建築の優作。常時公開。,,,,,,,,堂内不可,,,,,,,,,sight/photo/mimon01D/D002.bmp
1000009,2,2,4,5020200,,3,1000241,三十三間堂（蓮華王院）木造千手観音立像,さんじゅうさんげんどう（れんげおういん）もくぞうせんじゅかんのんりゅうぞう,,,蓮華王院（三十三間堂）にある重要文化財彫刻。平安時代から鎌倉時代にかけて、湛慶以下多くの仏師によって作られた。中央坐像の左右両翼の十段の階段上に各五十体ずつ、合計千体が並んでいる。像高は１．６５ｍ前後、頭上に十一面と四十二の手を持つ。,,,,,,,,,,,,,,,,,sight/photo/mimon01C/C003.bmp
